Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
1.  ;7 dni;Ainsworth Eve;2015;244;literatura młodzieżowa;;;;;
2.  ;13 powodów;Asher Jay;2017;272;literatura młodzieżowa;;;;;
3.  ;Pan Popper i jego pingwiny;Atwater Richard i Florence;2006;101;literatura dziecięca;;;;;
4.  ;Dzieci ziemi, tom 1, Klan Niedźwiedzia Jaskniowego;Auel Jean M.;2009;629;fikcja historyczna;;;;;
5.  ;Dzieci ziemi, tom 2, Dolina koni;Auel Jean M.;2011;734;fikcja historyczna;;;;;
6.  ;Dzieci ziemi, tom 3, Łowcy mamutów;Auel Jean M.;2011;876;fikcja historyczna;;;;;
7.  ;Dzieci ziemi, tom 4, Wielka wędrówka;Auel Jean M.;2011;1030;fikcja historyczna;;;;;
8.  ;Dzieci ziemi, tom 5, Kamienne sadyby;Auel Jean M.;2011;1097;fikcja historyczna;;;;;
9.  ;Dzieci ziemi, tom 6, Kraina jaskiń;Auel Jean M.;2011;926;fikcja historyczna;;;;;
10.  ;Czerwona królowa;Aveyard Victoria;2015;478;fantastyka młodzieżowa;;;;;
11.  ;Czerwona królowa, tom 2, Szklany miecz ;Aveyard Victoria;2016;556;fantastyka młodzieżowa;;;;;
22.  ;Ulysses Moore, tom 05, Kamienni strażnicy;Baccalario Pierdomenico;2007;286;fantastyka dziecięca;;;;;
23.  ;Ulysses Moore, tom 06, Pierwszy klucz;Baccalario Pierdomenico;2007;293;fantastyka dziecięca;;;;;
13.  ;Century, tom 2, Kamienna gwiazda;Baccalario Pierdomenico;2008;301;fantastyka dziecięca;;;;;
14.  ;Century, tom 3, Miasto wiatru;Baccalario Pierdomenico;2008;297;fantastyka dziecięca;;;;;
15.  ;Century, tom 4, Pierwotne źródło;Baccalario Pierdomenico;2008;319;fantastyka dziecięca;;;;;
12.  ;Century, tom 1, Ognisty pierścień;Baccalario Pierdomenico;2009;339;fantastyka dziecięca;;;;;
31.  ;Willy Moogley - Agencja duchów, tom 1, Pięciowidmowy hotel;Baccalario Pierdomenico;2009;156;fantastyka dziecięca;;;;;
32.  ;Willy Moogley - Agencja duchów, tom 3, Duch drapacza chmur;Baccalario Pierdomenico;2009;158;fantastyka dziecięca;;;;;
33.  ;Willy Moogley - Agencja duchów, tom 3, Duch drapacza chmur;Baccalario Pierdomenico;2009;158;fantastyka dziecięca;;;;;
27.  ;Ulysses Moore, tom 09, Labirynt cienia;Baccalario Pierdomenico;2010;314;fantastyka dziecięca;;;;;
28.  ;Ulysses Moore, tom 10, Lodowa kraina;Baccalario Pierdomenico;2010;287;fantastyka dziecięca;;;;;
18.  ;Ulysses Moore, tom 01, Wrota czasu;Baccalario Pierdomenico;2011;221;fantastyka dziecięca;;;;;
19.  ;Ulysses Moore, tom 02, Antykwariat ze starymi mapami;Baccalario Pierdomenico;2011;253;fantastyka dziecięca;;;;;
20.  ;Ulysses Moore, tom 03, Dom luster;Baccalario Pierdomenico;2011;244;fantastyka dziecięca;;;;;
21.  ;Ulysses Moore, tom 04, Wyspa masek;Baccalario Pierdomenico;2011;279;fantastyka dziecięca;;;;;
24.  ;Ulysses Moore, tom 07, Ukryte miasto;Baccalario Pierdomenico;2011;290;fantastyka dziecięca;;;;;
25.  ;Ulysses Moore, tom 08, Mistrz piorunów;Baccalario Pierdomenico;2011;248;fantastyka dziecięca;;;;;
